Tweet_ID,User_ID,Tweet,Created_At,Sentiment_Score,Sentiment,Coordinates,User_Location,Latitude,Longitude
414502282781147136,26111178,RT @ActonInstitute: Sex Trafficking in Your Backyard http://t.co/8PYgfBfQqm @Crisismag #humantrafficking #sextrade,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414502319502274560,1077857546,RT @RestoreOne: RT if you agree! REAL MEN DON'T BUY KIDS. #humantrafficking @menforfreedom http://t.co/37wdbnSEeO,2013-12-21 00:00:00 UTC,0.176768,weak_positive,UNKNOWN,Melbourne,-37.814107,144.96328
414503257432915970,15320422,The women who sold their daughters into sex slavery http://t.co/7psvyAqBG7 #children #humantrafficking,2013-12-21 00:00:00 UTC,0.585,positive,UNKNOWN,"Winnipeg, Canada",49.8997541,-97.1374937
414504634330677249,1115611490,MT @TrafficInPeople: AtlanticCity man indicted in alleged HumanTrafficking &amp; prostitution ring http://t.co/G2TiBS8t2i #humantrafficking,2013-12-21 00:00:00 UTC,0.0965443,weak_positive,UNKNOWN,South Dakota,43.9695148,-99.9018131
414505188565991424,109386689,RT @cendrinemedia: The women who sold their daughters into sex slavery http://t.co/7psvyAqBG7 #children #humantrafficking,2013-12-21 00:00:00 UTC,0.585,positive,UNKNOWN,"South Yorkshire, UK",53.46969679999999,-1.3259683
414506251062484992,1325228586,RT @UniteWomenSD: MT @TrafficInPeople: AtlanticCity man indicted in alleged HumanTrafficking &amp; prostitution ring http://t.co/G2TiBS8t2i #hu…,2013-12-21 00:00:00 UTC,0.0965443,weak_positive,UNKNOWN,"Casanova, VA",38.6576201,-77.7169363
414506834901209088,1327086060,RT @IJMcampaigns: Way to speak up! #KY advocates have raised their voices to say they want more to combat #humantrafficking! http://t.co/ZL…,2013-12-21 00:00:00 UTC,0.0210908,weak_positive,UNKNOWN,australia,-25.274398,133.775136
414506950265552896,1327086060,RT @IJMcampaigns: Hey #NEWHAMPSHIRE! Join us in tweeting a BIG THANK YOU to @KellyAyotte for supporting the #HumanTrafficking Prioritizatio…,2013-12-21 00:00:00 UTC,0.184229,weak_positive,UNKNOWN,australia,-25.274398,133.775136
414507269590896640,476555593,RT @UniteWomenMT: MT @wemarriage:  #NOT4SALE #SexTrafficking is a $32B Industry ....--&gt;  http://t.co/dHgCkAF9aa #trafficking #HumanTraffick…,2013-12-21 00:00:00 UTC,-0.0241047,weak_negative,UNKNOWN,Texas,31.9685988,-99.9018131
414510496784461824,18408730,RT @ActonInstitute: Sex Trafficking in Your Backyard http://t.co/8PYgfBfQqm @Crisismag #humantrafficking #sextrade,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,"#Grand Rapids, #MI",42.9633599,-85.6680863
414512327602368512,709269242,#Kenya police investigating #HumanTrafficking racket involving local security agents. http://t.co/3EHm35DfBc via @ECPAT &amp; @GunnarSimonsen,2013-12-21 00:00:00 UTC,0.362407,positive,UNKNOWN,"Seattle-based, Global focused",47.6062095,-122.3320708
414516425525829633,207643650,"LA Youth: wanna make a difference? join #humantrafficking poster contest, your poster could be displayed all over LA http://t.co/Lz6gnnTziD",2013-12-21 00:00:00 UTC,1.25298,very_positive,UNKNOWN,"Los Angeles, CA",34.0522342,-118.2436849
414517126339502080,589244564,RT @DHSgov: Traveling for the holiday? Be aware of #humantrafficking indicators. Learn more from the #BlueCampaign: http://t.co/hkXWtkgMUx,2013-12-21 00:00:00 UTC,0.666667,positive,UNKNOWN,"Washington, DC",38.90723089999999,-77.0364641
414518912735129600,184506542,RT @REACTPartnering: #Kenya police investigating #HumanTrafficking racket involving local security agents. http://t.co/3EHm35DfBc via @ECPA…,2013-12-21 00:00:00 UTC,0.32074,positive,UNKNOWN,Berlin,52.52000659999999,13.404954
414519605940322305,262791628,"Tks to few idiot/misguided ""happy hookers"" &amp; supreme court we can all worry abt protecting our girls from org crime&amp;pimps #HumanTrafficking",2013-12-21 00:00:00 UTC,1.10503,very_positive,UNKNOWN,GTA,48.7329339,2.3721971
414520492955955200,616275764,#HumanTrafficking Former North Korean Prisoner Writes Chilling Plea To Dennis Rodman - Opposing Views http://t.co/sRFqYd1BKU #eossipov #AAAW,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,Anacortes Wa.98273,48.49889,-122.662498
414524042234703872,1584200089,"RT @FAIR_Girls: How do pimps find girls &amp; how do they keep girls trapped in exploitation? ""Facts &amp; Fiction of #humantrafficking"" http://t.c…",2013-12-21 00:00:00 UTC,0.505654,positive,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414525371405459456,920319763,RT @realhangeng: #Humantrafficking is the exploitation of people for money. Help end it. Take the #FREEDOMPLEDGE on Google+:http://t.co/OqU…,2013-12-21 00:00:00 UTC,0.0340909,weak_positive,UNKNOWN,"Lombok Timur, NTB, Indonesia",-8.5134471,116.5609857
414528300867149824,59116213,"The most powerful message I've seen about #humantrafficking. Brought me to tears.
http://t.co/pYGzfvuMyG",2013-12-21 00:00:00 UTC,0.470506,positive,UNKNOWN,"Dayton, Ohio",39.7589478,-84.1916069
414528750890389504,57066215,@enditmovement 21 million in #HumanTrafficking http://t.co/W3JMj92wUn #ArkofHope is In it to END IT! #enditmovement #RemovingChains,2013-12-21 00:00:00 UTC,-0.0416667,weak_negative,UNKNOWN,"Gainesville, FL",29.6516344,-82.32482619999999
414531138892611584,27282834,"Today is the first day of winter, but advocates against #HumanTrafficking are hotter than ever about this deal: http://t.co/F1muiVZQWZ",2013-12-21 00:00:00 UTC,0.212585,weak_positive,UNKNOWN,"Houston, TX",29.7601927,-95.36938959999999
414532208595312640,40909010,"CBS News - Living in the Shadows: Religion's Response to #HumanTrafficking - ""Too big and too hidden."" #enditmovement http://t.co/Qsb4gZcWEV",2013-12-21 00:00:00 UTC,-0.172766,weak_negative,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414532931898851328,317451756,"RT @FAIR_Girls: How do pimps find girls &amp; how do they keep girls trapped in exploitation? ""Facts &amp; Fiction of #humantrafficking"" http://t.c…",2013-12-21 00:00:00 UTC,0.505654,positive,UNKNOWN,"Paraty, Rio de Janeiro",-23.2197316,-44.7211889
414534157184679937,836139397,RT @DHSgov: Traveling for the holiday? Be aware of #humantrafficking indicators. Learn more from the #BlueCampaign: http://t.co/hkXWtkgMUx,2013-12-21 00:00:00 UTC,0.666667,positive,UNKNOWN,"Yuma, Arizona ",32.6926512,-114.6276916
414537596677541888,1941959528,RT @MtnMoxieGirl: Heroes+#HumanTrafficking+Epic #RomanticSuspense=RECKLESS ENDANGERMENT http://t.co/8xnwwID8SH #ebooks #asmsg http://t.co/d…,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,"Denver, Colorado",39.737567,-104.9847179
414543958635585536,175930392,@JenWhiteICT Do you feel comfortable w/ putting US weapons into the hands of #children? http://t.co/HczqSQxJrq #humantrafficking,2013-12-21 00:00:00 UTC,-0.0369686,weak_negative,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414545019027341312,40909010,"WILMINGTON person Randolph J Spain, 24, facing #HumanTrafficking charges up &amp; down the east coast after... http://t.co/iyoEhuFijE",2013-12-21 00:00:00 UTC,0.170257,weak_positive,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414547707810676736,16874917,RT @REACTPartnering: #Kenya police investigating #HumanTrafficking racket involving local security agents. http://t.co/3EHm35DfBc via @ECPA…,2013-12-21 00:00:00 UTC,0.32074,positive,UNKNOWN,"Portland, Oregon",45.5234515,-122.6762071
414550036882939904,1214195197,RT @censorednewsnow: #HumanTrafficking Sex Slave Capital UK #OpCLEANSWEEP David? - See more at: http://t.co/vcJLT42MLi @SustainablDylan,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414550950766850048,616275764,"#HumanTrafficking Guest: Dennis Rodman, consider the facts of life in N. Korea - The Seattle Times http://t.co/ltffq5XjHh #eossipov #AAAW",2013-12-21 00:00:00 UTC,0.154777,weak_positive,UNKNOWN,Anacortes Wa.98273,48.49889,-122.662498
414561016970629120,632281002,#HumanTrafficking Egypt: UN Cites 'Worrying Escalation' in Harassment of Civil Soci... http://t.co/EgmmCvndLK http://t.co/QlqbA2iYIQ,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,Anacortes Wa.98273,48.49889,-122.662498
414561022330945536,616275764,#HumanTrafficking Egypt: UN Cites 'Worrying Escalation' in Harassment of Civil Soci... http://t.co/9Rdq8PcdwL,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,Anacortes Wa.98273,48.49889,-122.662498
414561024000282624,702166302,#HumanTrafficking Egypt: UN Cites 'Worrying Escalation' in Harassment of Civil Soci... http://t.co/FNHcdvveKd http://t.co/YTU3GOdw8X,2013-12-21 00:00:00 UTC,0.0,neutral,UNKNOWN,Anacortes Wa.98273,48.49889,-122.662498
414564898442850304,2171147059,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/6oifkhAVSc #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,UNKNOWN,42.230537,-83.7466403
414564899453685760,1115694072,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/XpBv8YC6WL #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,Idaho,44.0682019,-114.7420408
414564900158324737,1115633996,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/v8TqPR0bDz #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,Illinois,40.6331249,-89.3985283
414564901110427648,1118211032,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/5HLePLoa6n #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,Indiana,40.2671941,-86.1349019
414564901752168448,1332619002,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/iIkd2hiGt5 #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,Ohio,40.4172871,-82.90712300000001
414564902775554049,1118125297,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/Gqo7bXsTRW #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,Wisconsin,43.7844397,-88.7878678
414564904029274112,212070119,"mT @wemarriage: Anti#Trafficking in Persons Program (ATIP) identifies &amp; serves victims of #humanTrafficking,
http://t.co/XM9f4zEPbf #slavery",2013-12-21 00:00:00 UTC,0.0416667,weak_positive,UNKNOWN,United States,37.09024,-95.712891
